"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2927.830119,9.207046,"ops/ms",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,134.023563,0.421464,"MB/sec",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000236,0.000001,"B/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,100.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000334,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,137.235164,0.500331,"MB/sec",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000230,0.000001,"B/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod","sample",1,22668194,0.000363,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,132.747764,0.200325,"MB/sec",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001928,0.000429,"B/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,116.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000681,NaN,"ms/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004192,NaN,"ms/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.826240,NaN,"ms/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016266,0.003182,"ms/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,68.955096,7.867596,"MB/sec",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6885.440000,18.706080,"B/op",Code.Java.Abacus.v1.Rare.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.BuscarElemento
