"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3111.501071,7.367266,"ops/ms",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,142.431427,0.337227,"MB/sec",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000222,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000320,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,142.912315,0.614987,"MB/sec",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000221,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod","sample",1,23678515,0.000348,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,138.669200,0.282008,"MB/sec",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001845,0.000411,"B/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,137.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000320,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000591,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004137,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.654208,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019294,0.002670,"ms/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,66.638781,5.243791,"MB/sec",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.000000,6.783058,"B/op",Code.Java.Abacus.v1.Rare.ContarPares
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ContarPares
