"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2957.076321,8.461110,"ops/ms",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,135.362486,0.387292,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000234,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000350,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,130.661602,0.200500,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000242,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod","sample",1,22016184,0.000374,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,128.924360,0.331747,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002033,0.000459,"B/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,111.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000791,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004336,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.871296,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.013626,0.002311,"ms/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.183165,5.900264,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.240000,0.813967,"B/op",Code.Java.Abacus.v1.Rare.ConversionBinario
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionBinario
