"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2527.024281,2.667391,"ops/ms",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,115.676659,0.122094,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000273,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,47.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,87.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000395,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,115.796433,0.230804,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000273,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,47.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,100.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod","sample",1,36486831,0.000425,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,115.602567,0.210917,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002333,0.000508,"B/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,47.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,100.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000380,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000441,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000571,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.003916,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.066432,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.011451,0.001937,"ms/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,78.430201,6.251987,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6883.360000,11.395537,"B/op",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit
