"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2778.282204,9.568335,"ops/ms",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,127.178148,0.438008,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000248,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,93.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000366,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,125.010656,0.331720,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000253,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,94.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod","sample",1,21583496,0.000400,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,120.610961,0.509403,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002248,0.000499,"B/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000912,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004352,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.551232,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019943,0.003360,"ms/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,63.768420,8.321506,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.720000,18.911029,"B/op",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionMetrosPies
