"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2861.243120,11.619501,"ops/ms",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,130.975272,0.531954,"MB/sec",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000242,0.000001,"B/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,95.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000349,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,131.071693,0.441492,"MB/sec",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000241,0.000001,"B/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod","sample",1,21480672,0.000384,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,125.789966,0.227787,"MB/sec",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002075,0.000476,"B/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000801,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004256,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.096576,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.011937,0.002218,"ms/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,80.953346,6.272825,"MB/sec",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6889.840000,23.611970,"B/op",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DistanciaEuclidiana
