"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2991.566783,3.700338,"ops/ms",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,136.941156,0.169362,"MB/sec",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000231,0.000001,"B/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000337,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,135.710128,0.151703,"MB/sec",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000233,0.000000,"B/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,22364679,0.000370,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,130.973091,0.207376,"MB/sec",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002005,0.000452,"B/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,115.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000380,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000400,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000641,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004312,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.059712,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.021307,0.002333,"ms/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,61.311007,5.361957,"MB/sec",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.000000,0.000000,"B/op",Code.Java.Abacus.v1.Rare.DivisionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DivisionNumeros
