"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3013.378496,8.319224,"ops/ms",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,137.939054,0.380841,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000229,0.000001,"B/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000337,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,135.935107,0.486896,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000233,0.000001,"B/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod","sample",1,23536483,0.000356,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,137.835201,0.285603,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001921,0.000400,"B/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,123.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000320,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000631,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004096,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.211840,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019393,0.002702,"ms/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,66.490027,5.305719,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.000000,6.783058,"B/op",Code.Java.Abacus.v1.Rare.FuncionCoseno
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionCoseno
