"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3153.096059,6.917341,"ops/ms",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,144.335350,0.316648,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000219,0.000001,"B/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000326,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,140.291472,0.642560,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000225,0.000001,"B/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod","sample",1,23525087,0.000350,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,137.766300,0.257402,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001934,0.000417,"B/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,116.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000311,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000652,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004192,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.195456,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.022628,0.003487,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,59.929277,5.644059,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Rare.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroMenor
