"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2886.435630,7.912208,"ops/ms",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,132.128247,0.362152,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000239,0.000001,"B/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000330,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,138.635710,0.304879,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000228,0.000001,"B/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod","sample",1,22813890,0.000361,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,133.604535,0.341481,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001964,0.000453,"B/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,109.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000692,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004144,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,8.437760,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.014891,0.002805,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.580829,7.918100,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.640000,7.100975,"B/op",Code.Java.Abacus.v1.Rare.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPerfecto
