"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2644.878198,6.974862,"ops/ms",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,121.071374,0.319263,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000261,0.000001,"B/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000365,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,125.461632,0.575007,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000252,0.000001,"B/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,95.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod","sample",1,34567534,0.000411,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,115.838386,0.236913,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002337,0.000520,"B/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,47.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000581,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.003996,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.031040,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.023108,0.003105,"ms/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,57.337945,6.295631,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6883.360000,9.455514,"B/op",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo
