"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3178.877767,5.637867,"ops/ms",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,145.515383,0.258076,"MB/sec",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000217,0.000001,"B/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,60.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000316,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,144.948968,0.725435,"MB/sec",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000218,0.000001,"B/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,121.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod","sample",1,23392082,0.000354,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,136.992219,0.264202,"MB/sec",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001940,0.000421,"B/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,117.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000310,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000621,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004152,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,8.404992,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016582,0.003501,"ms/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.632191,8.113604,"MB/sec",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6885.440000,18.449917,"B/op",Code.Java.Abacus.v1.Rare.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Porcentaje
