"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3056.177947,10.042663,"ops/ms",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,139.898615,0.459697,"MB/sec",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000226,0.000001,"B/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000330,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,138.764885,0.586333,"MB/sec",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000228,0.000001,"B/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod","sample",1,22871877,0.000360,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,133.941153,0.757376,"MB/sec",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001949,0.000387,"B/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,122.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000320,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000661,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004192,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.854912,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.018578,0.002654,"ms/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,68.538131,6.286558,"MB/sec",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.000000,6.783058,"B/op",Code.Java.Abacus.v1.Rare.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PotenciaRaiz
