"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3388.732979,10.759443,"ops/ms",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,155.121730,0.492559,"MB/sec",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000204,0.000001,"B/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,64.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,116.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000310,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,147.605208,0.305769,"MB/sec",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000214,0.000001,"B/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,61.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,111.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod","sample",1,24380140,0.000339,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,142.779369,0.317974,"MB/sec",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001790,0.000355,"B/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,122.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000300,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000581,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.003956,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.941504,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019059,0.003555,"ms/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.407815,7.009559,"MB/sec",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6888.640000,21.128326,"B/op",Code.Java.Abacus.v1.Rare.Presion
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Presion
