"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3073.106198,7.561440,"ops/ms",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,140.674022,0.346123,"MB/sec",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000225,0.000001,"B/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000339,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,135.081344,0.447870,"MB/sec",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000234,0.000001,"B/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod","sample",1,22344190,0.000370,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,130.851077,0.330090,"MB/sec",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002056,0.000479,"B/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,132.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000440,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000691,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004288,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.617344,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.011013,0.001976,"ms/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,79.017337,5.955452,"MB/sec",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.640000,7.100975,"B/op",Code.Java.Abacus.v1.Rare.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SerieFibonacci
