"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3120.316113,6.608081,"ops/ms",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,142.834928,0.302466,"MB/sec",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000221,0.000001,"B/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000321,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,142.700857,0.625767,"MB/sec",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000222,0.000001,"B/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod","sample",1,23272996,0.000364,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,136.291514,0.278881,"MB/sec",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001956,0.000427,"B/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,122.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000320,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000642,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004152,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.988608,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.017386,0.002827,"ms/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,74.171877,5.915485,"MB/sec",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6885.760000,12.963954,"B/op",Code.Java.Abacus.v1.Rare.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaImpares
