"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3015.696112,11.670852,"ops/ms",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,138.045888,0.534222,"MB/sec",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000229,0.000001,"B/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,108.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000325,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,140.829097,0.328190,"MB/sec",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000225,0.000001,"B/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod","sample",1,23058559,0.000362,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,135.035412,0.270830,"MB/sec",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001949,0.000392,"B/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,118.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000321,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000661,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004112,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.920448,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.023764,0.002720,"ms/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,53.551496,5.028947,"MB/sec",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.640000,7.100975,"B/op",Code.Java.Abacus.v1.Rare.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VelocidadFinal
