"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2788.830572,16.133312,"ops/ms",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,127.660779,0.738463,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000248,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,95.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000367,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,124.645683,0.417708,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000254,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod","sample",1,21085593,0.000391,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,123.474335,0.205485,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002127,0.000470,"B/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000400,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000891,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004296,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.787904,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.020877,0.003352,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,66.812164,7.883555,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Refactored.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoSalario
