"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2831.689216,7.907295,"ops/ms",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,129.622876,0.361980,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000244,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000363,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,126.239666,0.607547,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000251,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,91.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod","sample",1,20762519,0.000396,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,121.580491,0.264940,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002177,0.000455,"B/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,109.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000481,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000941,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004416,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.830336,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.013352,0.001962,"ms/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,87.534137,6.138052,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6891.760000,28.627052,"B/op",Code.Java.Abacus.v1.Refactored.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculosCirculo
