"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2660.400958,6.568998,"ops/ms",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,121.782010,0.300709,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000260,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,92.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000382,0.000003,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,120.038052,0.844182,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000263,0.000002,"B/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,93.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod","sample",1,20208162,0.000403,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,118.339397,0.218716,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002208,0.000518,"B/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,48.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000842,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004368,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.027520,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019359,0.003473,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,68.770952,5.628274,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.160000,18.824858,"B/op",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionKmMillas
