"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3000.184635,10.780933,"ops/ms",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,137.335291,0.493446,"MB/sec",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000230,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,100.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000340,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,134.517909,0.411423,"MB/sec",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000235,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod","sample",1,22564557,0.000367,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,132.142790,0.517111,"MB/sec",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001965,0.000405,"B/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,118.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000671,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004112,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,12.353536,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.011001,0.002145,"ms/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,77.636564,5.888433,"MB/sec",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6889.040000,22.020913,"B/op",Code.Java.Abacus.v1.Refactored.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Cuartiles
