"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2722.211575,9.845642,"ops/ms",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,124.611502,0.450674,"MB/sec",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000254,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,94.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000380,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,120.566398,0.293594,"MB/sec",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000262,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,95.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod","sample",1,21083488,0.000392,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,123.462734,0.297466,"MB/sec",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002102,0.000448,"B/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,123.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000461,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000842,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004232,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.699264,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.018513,0.002454,"ms/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.768380,5.218170,"MB/sec",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Refactored.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InteresCompuesto
