"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2896.270684,13.171895,"ops/ms",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,132.579028,0.602962,"MB/sec",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000238,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000346,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,132.342190,0.449386,"MB/sec",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000239,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod","sample",1,21355706,0.000386,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,125.059074,0.551258,"MB/sec",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002105,0.000452,"B/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000400,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000451,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000772,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004368,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.039232,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019037,0.002987,"ms/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.599792,6.564427,"MB/sec",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Refactored.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MinimoArray
