"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2762.247800,5.422306,"ops/ms",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,126.443540,0.248233,"MB/sec",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000250,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000368,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,124.415665,0.377889,"MB/sec",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000254,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod","sample",1,20486217,0.000401,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,119.963400,0.156679,"MB/sec",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002132,0.000461,"B/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000400,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000932,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004264,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,0.096384,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.017432,0.003484,"ms/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,66.469354,7.646358,"MB/sec",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6884.000000,11.578859,"B/op",Code.Java.Abacus.v1.Refactored.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MultiplicarArray
