"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2735.084076,9.578931,"ops/ms",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,125.200716,0.438475,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000252,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,94.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000365,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,125.542119,0.259831,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000252,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,91.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod","sample",1,20766976,0.000395,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,121.597605,0.255333,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002281,0.000472,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,108.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000400,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.001212,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.005096,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.531328,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.018424,0.003823,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,63.601361,7.698360,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPalindromo
