"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2484.710167,6.813171,"ops/ms",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,113.739877,0.311866,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000278,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,46.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,84.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000394,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,116.091965,0.474080,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000272,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,47.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,86.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod","sample",1,37995861,0.000433,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,111.283036,0.276301,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002428,0.000550,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,45.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000400,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000440,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000441,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000531,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000571,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.003908,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.740224,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.012020,0.002193,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,78.822716,6.494884,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6883.360000,9.455514,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo
