"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3019.213220,11.886708,"ops/ms",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,138.206874,0.544159,"MB/sec",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000229,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000326,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,140.477947,0.656335,"MB/sec",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000225,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,108.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod","sample",1,22982658,0.000361,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,134.590737,0.273312,"MB/sec",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001958,0.000436,"B/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,119.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000321,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000652,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004144,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.018752,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.010369,0.001585,"ms/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,76.626561,5.478650,"MB/sec",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.000000,0.000000,"B/op",Code.Java.Abacus.v1.Refactored.Presion
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Presion
