"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2765.258840,10.821331,"ops/ms",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,126.581800,0.495323,"MB/sec",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000250,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000366,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,125.046751,0.362374,"MB/sec",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000253,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,94.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod","sample",1,20707727,0.000395,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,121.260036,0.136439,"MB/sec",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002148,0.000461,"B/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000972,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004272,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.318336,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.010670,0.002200,"ms/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,80.175713,5.923014,"MB/sec",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.160000,18.586343,"B/op",Code.Java.Abacus.v1.Refactored.SegundosAHoras
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SegundosAHoras
