"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2772.940806,5.907812,"ops/ms",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,126.933669,0.270416,"MB/sec",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000249,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000356,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,128.473369,0.277070,"MB/sec",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000246,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod","sample",1,21234866,0.000385,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,124.351691,0.343423,"MB/sec",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002114,0.000462,"B/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,122.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000461,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000782,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004384,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.367488,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.022930,0.002971,"ms/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,60.143047,6.969480,"MB/sec",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6881.680000,4.122840,"B/op",Code.Java.Abacus.v1.Refactored.SerieFibonacci
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SerieFibonacci
