"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2946.736763,8.445432,"ops/ms",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,134.889164,0.386609,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000234,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000331,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,138.204017,0.747433,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000229,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod","sample",1,21892361,0.000374,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,128.205447,0.171738,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002035,0.000466,"B/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,117.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000741,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004176,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,10.190848,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016094,0.002639,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,71.389039,7.331727,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.160000,18.586343,"B/op",Code.Java.Abacus.v1.Refactored.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaPares
