"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2849.582809,16.206757,"ops/ms",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,130.441315,0.741865,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000243,0.000002,"B/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000355,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,128.830577,0.177186,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000245,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,89.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod","sample",1,21207980,0.000389,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,124.194372,0.327179,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002051,0.000465,"B/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,111.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000782,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004216,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.017280,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.010330,0.001711,"ms/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,78.419740,5.732194,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6881.280000,3.054119,"B/op",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaPrimeroN
