"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2617.814341,5.760908,"ops/ms",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,119.832736,0.263694,"MB/sec",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000264,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,90.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000371,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,123.395785,0.260935,"MB/sec",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000256,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,90.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod","sample",1,20699989,0.000402,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,120.056761,0.289819,"MB/sec",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002194,0.000470,"B/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000410,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000972,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004312,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.609152,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.015320,0.002970,"ms/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,67.423607,7.066031,"MB/sec",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6885.280000,17.907272,"B/op",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.TablasMultiplicar
