"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3092.289561,9.835218,"ops/ms",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,141.551675,0.450190,"MB/sec",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000224,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000329,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,139.278240,0.342600,"MB/sec",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000227,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod","sample",1,23205958,0.000356,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,135.900361,0.254782,"MB/sec",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001908,0.000423,"B/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000621,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004232,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.632256,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.018874,0.004086,"ms/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,65.942565,5.238235,"MB/sec",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6881.280000,4.341157,"B/op",Code.Java.Abacus.v1.Refactored.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Trabajo
