"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2792.504014,5.446527,"ops/ms",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,127.828654,0.249287,"MB/sec",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000247,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000365,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,125.374007,0.325009,"MB/sec",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000252,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod","sample",1,21001243,0.000394,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,122.978633,0.342872,"MB/sec",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002173,0.000478,"B/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,116.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000400,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000471,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000901,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004288,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.641920,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016049,0.003416,"ms/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.124067,8.018405,"MB/sec",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.720000,9.224958,"B/op",Code.Java.Abacus.v1.Refactored.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.TransponerMatriz
