"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2986.309106,16.430175,"ops/ms",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,136.700248,0.752053,"MB/sec",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000231,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000339,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,135.187371,0.604883,"MB/sec",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000234,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod","sample",1,23013325,0.000363,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,134.772010,0.302913,"MB/sec",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001919,0.000457,"B/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000632,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004064,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,0.147456,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.022096,0.003418,"ms/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,64.152524,6.563777,"MB/sec",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Refactored.Varianza
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Varianza
