"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2897.504300,5.931370,"ops/ms",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,132.635255,0.271472,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000239,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000352,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,130.190126,0.383211,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000243,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod","sample",1,22045615,0.000374,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,129.098554,0.216187,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002042,0.000478,"B/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,113.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000752,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004224,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.510848,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.017708,0.002426,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,71.882910,5.400638,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6884.560000,10.248579,"B/op",Code.Java.Abacus.v1.Refactored.VolumenCubo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenCubo
