"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003057,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,139.906247,0.328888,"MB/sec",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004538,0.000056,"B/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,328.092073,0.756107,"ns/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,139.560236,0.310912,"MB/sec",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004550,0.000057,"B/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod","sample",1,11762490,360.717568,0.236481,"ns/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,137.123122,0.290209,"MB/sec",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021201,0.001257,"B/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3164.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5976.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,212480.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12707.648703,2067.122632,"ns/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,103.577655,4.082984,"MB/sec",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.930140,156.103457,"B/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaCuadrado
