"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003139,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,143.655886,0.303143,"MB/sec",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004417,0.000055,"B/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,77.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,319.332896,0.854718,"ns/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,143.413278,0.362158,"MB/sec",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004426,0.000055,"B/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod","sample",1,12116703,353.285430,0.988758,"ns/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,141.276359,0.341306,"MB/sec",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020384,0.001172,"B/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,310.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,430.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3016.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5784.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2617344.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13285.109780,2113.919896,"ns/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,104.357536,4.842472,"MB/sec",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.019960,156.280058,"B/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaEsfera
