"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003008,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,137.657960,0.300325,"MB/sec",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004612,0.000058,"B/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,331.869608,0.847891,"ns/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,137.991354,0.340236,"MB/sec",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004601,0.000056,"B/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod","sample",1,11385659,372.498086,1.330082,"ns/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,132.687694,0.411816,"MB/sec",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021886,0.001288,"B/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,450.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3204.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5920.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3354624.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14662.359281,2430.540963,"ns/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,107.883372,5.310373,"MB/sec",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.924152,156.061691,"B/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaRectangulo
