"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003036,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,138.975347,0.274209,"MB/sec",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004565,0.000057,"B/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,334.507476,0.909019,"ns/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,136.919703,0.368980,"MB/sec",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004634,0.000058,"B/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod","sample",1,11444628,370.437772,0.775037,"ns/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,133.379617,0.419290,"MB/sec",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021749,0.001218,"B/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3256.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5936.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2584576.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14075.927146,2265.290676,"ns/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,89.775476,3.863710,"MB/sec",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6964.902196,156.059325,"B/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaTriangulo
