"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002946,0.000009,"ops/ns",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,134.847649,0.433028,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004710,0.000060,"B/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,345.488142,0.718012,"ns/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,132.521305,0.265354,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004790,0.000059,"B/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod","sample",1,11230425,376.912430,1.130564,"ns/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,130.896780,0.296195,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022058,0.001095,"B/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,460.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3224.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5960.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2736128.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13273.152695,2229.991791,"ns/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,110.608232,4.919094,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.251497,156.439245,"B/op",Code.Java.Abacus.v1.Rare.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoDescuento
