"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003113,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,142.488357,0.311027,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004457,0.000055,"B/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,76.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,318.471466,0.764080,"ns/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,143.780012,0.333946,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004417,0.000055,"B/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,82.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod","sample",1,11907009,355.396713,1.112757,"ns/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,138.832408,0.324841,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020832,0.001225,"B/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,311.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3056.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5776.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2965504.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12841.726547,2112.012328,"ns/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,109.548496,4.825562,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.003992,156.073931,"B/op",Code.Java.Abacus.v1.Rare.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoEdad
