"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003131,0.000009,"ops/ns",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,143.311736,0.390170,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004430,0.000055,"B/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,77.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,320.127237,0.933528,"ns/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,143.072220,0.401196,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004437,0.000055,"B/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod","sample",1,11723354,360.757675,0.746796,"ns/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,136.672986,0.419197,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021099,0.001205,"B/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,310.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3144.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5856.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2560000.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14090.705589,1852.924261,"ns/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,101.850887,4.556665,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6964.303393,155.882630,"B/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoIMC
