"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002975,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,136.137497,0.320433,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004664,0.000058,"B/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,333.209692,0.672968,"ns/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,137.405265,0.266626,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004617,0.000057,"B/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod","sample",1,11472185,370.986536,0.216767,"ns/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,133.733765,0.373687,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021529,0.001213,"B/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,450.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3116.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5768.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,151040.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14209.166667,2037.150564,"ns/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,95.750356,4.244973,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.227545,156.061852,"B/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoPropina
