"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002979,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,136.355538,0.274953,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004654,0.000058,"B/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,333.434929,0.878222,"ns/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,137.344620,0.353739,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004624,0.000058,"B/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod","sample",1,11484974,368.771504,1.089088,"ns/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,133.840193,0.290328,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021670,0.001220,"B/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3176.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5976.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2916352.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13168.918164,2112.018861,"ns/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,108.889052,5.297537,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.716567,156.237573,"B/op",Code.Java.Abacus.v1.Rare.CalculoSalario
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoSalario
