"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002919,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,133.584293,0.316202,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004752,0.000059,"B/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,341.390890,1.054949,"ns/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,134.183254,0.409510,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004730,0.000059,"B/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod","sample",1,11123663,378.210809,0.841636,"ns/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,129.642853,0.310141,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022291,0.001294,"B/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3276.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5888.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2707456.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14070.487026,2200.472139,"ns/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,89.437533,3.485472,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6963.944112,156.025330,"B/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoVelocidad
