"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002964,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,135.671058,0.305741,"MB/sec",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004680,0.000058,"B/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,336.647877,0.764582,"ns/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,136.014613,0.295932,"MB/sec",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004667,0.000059,"B/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod","sample",1,11432648,372.495943,0.244336,"ns/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,133.248145,0.301237,"MB/sec",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021838,0.001239,"B/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3156.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5776.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,215808.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14688.969062,2252.258252,"ns/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,93.755752,4.044494,"MB/sec",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.211577,156.117676,"B/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculosCirculo
