"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002727,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,124.810545,0.313592,"MB/sec",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005088,0.000064,"B/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,362.156719,0.813744,"ns/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,126.437421,0.276208,"MB/sec",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005017,0.000062,"B/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod","sample",1,10934791,405.432389,1.571423,"ns/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,121.871790,0.232749,"MB/sec",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023976,0.001271,"B/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3564.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6132.166400,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3063808.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,16175.026946,2540.020784,"ns/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,95.151993,4.712422,"MB/sec",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.107784,156.072393,"B/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
