"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003034,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,138.853898,0.332302,"MB/sec",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004573,0.000057,"B/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,76.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,331.206694,0.835503,"ns/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,138.261148,0.331378,"MB/sec",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004591,0.000058,"B/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod","sample",1,11504745,369.068218,1.598614,"ns/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,134.088502,0.342298,"MB/sec",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021428,0.001168,"B/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,450.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3276.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6044.203200,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,4075520.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,16115.118762,2158.386058,"ns/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,94.490470,4.494176,"MB/sec",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.043912,156.064503,"B/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ContarImpares
