"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002511,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,114.904856,0.313804,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005528,0.000069,"B/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,22.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,57.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,392.956049,0.991379,"ns/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,116.541119,0.289630,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005448,0.000067,"B/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod","sample",1,18147252,423.988584,0.173537,"ns/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,114.672051,0.246949,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.026143,0.001543,"B/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,511.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,2964.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5480.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,215296.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,16222.322355,2383.793167,"ns/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,81.571850,2.524494,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.516966,156.052531,"B/op",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionFahrenheitCelsius
