"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002681,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,122.702293,0.265241,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005174,0.000064,"B/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,368.885414,0.922009,"ns/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,124.137028,0.300912,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005115,0.000064,"B/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod","sample",1,11194035,414.974129,1.171039,"ns/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,119.716756,0.280990,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024753,0.001388,"B/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,501.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3516.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6120.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2887680.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15101.110778,2180.912586,"ns/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,97.417574,4.107951,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6964.878244,156.062190,"B/op",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionHexadecimal
