"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002853,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,130.591308,0.299933,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004860,0.000060,"B/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,349.428599,0.787248,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,131.039410,0.286637,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004845,0.000061,"B/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod","sample",1,10835966,391.389362,0.248904,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,126.254963,0.257939,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022832,0.001212,"B/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3396.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6048.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,215296.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14167.090818,2307.090906,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,107.023198,5.063127,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.235529,156.261498,"B/op",Code.Java.Abacus.v1.Rare.ConversionKgLibras
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionKgLibras
