"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002856,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,130.694717,0.335676,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004858,0.000061,"B/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,358.476693,0.892293,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,127.744712,0.310394,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004968,0.000062,"B/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod","sample",1,11043782,384.648380,1.071315,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,128.687475,0.270919,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022657,0.001085,"B/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3356.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6088.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3485696.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13935.226547,2109.663666,"ns/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,109.573468,4.858543,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.435130,156.272566,"B/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionKmMillas
