"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003149,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,144.112031,0.326055,"MB/sec",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004406,0.000055,"B/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,76.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,323.081070,1.479482,"ns/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,141.929969,0.635188,"MB/sec",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004478,0.000058,"B/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod","sample",1,12199815,348.413057,0.204482,"ns/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,142.268001,0.368318,"MB/sec",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020412,0.001204,"B/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,79.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,301.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3004.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5760.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,105728.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13487.123752,2208.632722,"ns/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,97.111404,4.153466,"MB/sec",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.355289,156.277970,"B/op",Code.Java.Abacus.v1.Rare.Cuartiles
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Cuartiles
