"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003241,0.000008,"ops/ns",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,148.317537,0.373882,"MB/sec",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004281,0.000054,"B/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,78.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,311.574634,0.770771,"ns/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,146.965452,0.345569,"MB/sec",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004320,0.000054,"B/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,80.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod","sample",1,12401059,343.889842,1.001722,"ns/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,144.593790,0.349854,"MB/sec",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.019984,0.001164,"B/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,81.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,300.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,331.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,2984.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5728.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2752512.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13954.973054,2185.467918,"ns/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,109.350842,5.020285,"MB/sec",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.475050,156.090871,"B/op",Code.Java.Abacus.v1.Rare.Densidad
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Densidad
