"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002855,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,130.683963,0.300385,"MB/sec",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004855,0.000061,"B/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,348.057108,0.725771,"ns/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,131.549026,0.265036,"MB/sec",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004823,0.000060,"B/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod","sample",1,10963173,384.642138,0.260140,"ns/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,127.751189,0.271281,"MB/sec",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022930,0.001226,"B/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3384.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6056.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,214528.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,16815.716567,2301.447474,"ns/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,83.613572,3.138454,"MB/sec",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.940120,156.080031,"B/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DesviacionEstandar
