"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003116,0.000009,"ops/ns",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,142.592243,0.423985,"MB/sec",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004454,0.000056,"B/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,314.525870,0.693482,"ns/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,145.573534,0.310891,"MB/sec",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004363,0.000054,"B/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,78.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod","sample",1,11966009,355.378240,1.293265,"ns/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,139.503291,0.374796,"MB/sec",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020737,0.001245,"B/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,430.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3064.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5880.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2736128.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13366.884232,1994.530210,"ns/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,113.369063,5.232445,"MB/sec",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.105788,156.097708,"B/op",Code.Java.Abacus.v1.Rare.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DiasAAnios
