"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002949,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,134.977733,0.340846,"MB/sec",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004704,0.000059,"B/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,76.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,342.054529,1.000631,"ns/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,133.902915,0.380409,"MB/sec",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004741,0.000059,"B/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod","sample",1,11274392,376.342762,1.792476,"ns/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,131.404752,0.341798,"MB/sec",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022059,0.001173,"B/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3256.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5788.485600,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,4661248.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15868.573852,2436.461318,"ns/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,89.926165,3.659014,"MB/sec",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.820359,156.079735,"B/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FactorialNumero
