"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003332,0.000009,"ops/ns",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,152.480413,0.389792,"MB/sec",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004164,0.000053,"B/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,78.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,314.761338,2.113973,"ns/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,145.982407,0.937111,"MB/sec",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004364,0.000061,"B/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,77.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod","sample",1,12585639,338.409077,0.804748,"ns/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,146.773617,0.348658,"MB/sec",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.019537,0.001162,"B/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,80.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,290.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,331.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,2944.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5496.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2973696.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12843.319361,2554.926886,"ns/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,105.172923,4.675187,"MB/sec",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6964.854291,156.033416,"B/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Fuerza
