"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003089,0.000008,"ops/ns",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,141.397471,0.369847,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004491,0.000056,"B/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,78.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,319.801663,0.832963,"ns/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,143.197777,0.354785,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004433,0.000055,"B/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod","sample",1,12082914,353.056958,1.140516,"ns/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,140.866456,0.338395,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020609,0.001245,"B/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,310.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3036.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5800.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3325952.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13526.295409,2141.795184,"ns/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,104.453665,4.595135,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.812375,156.094590,"B/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionSeno
