"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003157,0.000008,"ops/ns",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,144.473286,0.346479,"MB/sec",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004394,0.000055,"B/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,78.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,321.796466,0.732833,"ns/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,142.286971,0.311607,"MB/sec",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004462,0.000055,"B/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod","sample",1,11822561,359.132781,1.400909,"ns/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,137.823771,0.365126,"MB/sec",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020979,0.001261,"B/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,310.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3164.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5960.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2977792.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,11923.708583,1843.083341,"ns/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,108.616643,4.643596,"MB/sec",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.417166,156.475151,"B/op",Code.Java.Abacus.v1.Rare.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Hipotenusa
