"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002915,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,133.426306,0.295594,"MB/sec",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004754,0.000059,"B/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,343.814175,1.007546,"ns/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,133.220333,0.377903,"MB/sec",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004766,0.000060,"B/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod","sample",1,11157382,380.255339,1.366025,"ns/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,130.007935,0.293255,"MB/sec",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022647,0.001297,"B/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,460.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3344.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6120.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2859008.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12717.612774,1730.166809,"ns/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,110.843005,4.635156,"MB/sec",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.041916,156.290906,"B/op",Code.Java.Abacus.v1.Rare.InteresCompuesto
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InteresCompuesto
