"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003035,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,138.912403,0.306193,"MB/sec",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004568,0.000058,"B/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,329.913910,0.819867,"ns/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,138.801308,0.335185,"MB/sec",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004574,0.000057,"B/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod","sample",1,11607796,364.994626,1.048805,"ns/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,135.312994,0.318575,"MB/sec",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021325,0.001265,"B/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,440.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3124.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5816.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2654208.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12644.293413,2098.526434,"ns/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,107.012510,4.500817,"MB/sec",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.229541,156.240977,"B/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InteresSimple
