"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003035,0.000008,"ops/ns",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,138.893119,0.363555,"MB/sec",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004571,0.000057,"B/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,330.908905,0.815574,"ns/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,138.382924,0.329565,"MB/sec",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004588,0.000057,"B/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod","sample",1,11672010,369.311155,0.788820,"ns/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,136.061359,0.327156,"MB/sec",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021431,0.001304,"B/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3204.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5960.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2682880.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15983.600798,2429.718876,"ns/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,93.203156,4.632798,"MB/sec",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.173653,156.080885,"B/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InvertirArray
